accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
hit home,"na. 击中要害；触及痛处；“hit/strike home”的变体
 切中要害；打中要害；命中要害"
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
hold off,"na. 拖延；抵抗(进攻等)；使不接近
 推迟；迟疑；延缓"
impact on, 影响；对…冲击，碰撞；对…之影响
in accordance with,"na. 照；与…一致
 按照；根据；依照"
in line with,"na. 和…成一直线；和…一致
 符合；按照；跟…一致"
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
in relation to,"na. 关于…
 涉及；有关；与…相比"
in terms of ...,
integrate into, 融入到……中去；成为一体，融入；使并入
keep ... off ...,
keep track of,"na. 追踪；记录；保持联系；密切注意…的动向
 与…保持联系；跟踪；保持对……的联系"
kick back,"na. 反冲；踢回；突然退缩；交付(租金,佣金,酬金等)
 休息；回扣；轻松休息"
kick out,"na. 踢出；解雇；踢足球出界
 逐出；把球踢出界；开除"
knock off,"na. 敲落；中止(工作)；即席作(诗文等)；减低(价格)
 下班；停工；打落"
knock out,"na. 敲出；敲空；使屈服；使无用
 击倒；击昏；打破"
lay off,"na. 辞退；停止；暂停
 解雇；下岗；裁员"
lay out,"n. 布局；设计；规划；安排
 布置；摆开；花费"
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
lie with,"na. 和…发生性关系；(责任,义务,决定权等)在于…
 取决于；是…的责任；苟合"
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
 排队；整队；排成一行"
live by,"na. 靠…为生；住在…附近
 以……为生；靠……为生；靠……生活"
live off,"na. 住在…之外；以…为生
 靠…生活；靠……供养；依赖…生活"
look at,"na. 看；考虑
 看着；注视；瞧"
look down on,"v. 轻视；看不起
 瞧不起；蔑视；看不起某人"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
mark out,"na. 指示；拟订(计划)；注意；选拔
 规划；标出……界线；划出"
may well,"na. 也有好处
 很可能；保不住；充分理由"
meet up,"v. 偶尔遇见
 偶遇；见面；约见"
meet with,"na. 碰见；遭遇；偶然发现；达到
 遇见；遇到；碰到"
miss out on,得不到期望中的东西，没得到期望中的东西，错过机会；不能掌握
offer up,"v. 奉上
 献上；贡献；奉献"
on a shoestring,"na. 用很少的钱
 生活拮据；小本经营；以极少的资金或不用资金"
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
on course,"un. 原来；在航道上飞行；在航线上
 在规定的过程中；在正确方向上；维持在……方向上"
on line,"un. 在线的；联机；电站并网；机控
 在线式；线上；上线"
on the back burner, 暂且放一放; 从长计议; 以后再做（或考虑）某事; 停止
on the ground,adv. 在地上，当场，在决斗; 席地; 地下
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在…上面；除…之外；另外"
out of sight,"adv. 无影无踪
 看不见；战略高手；在视野之外"
pair with, 与…配对；与…成对；使…与…配成对
part with,"na. 跟…分别；解雇；卖掉(东西)
 放弃；割舍；辞退"
pass down,"un. 过；一闪即逝；下达
 传递；传下去；传下来"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
pin down,"na. 强迫(人)承认条约；用…束缚住；阻止；牵制
 确定；压制；使受约束"
play a part,"na. 扮演…角色；假装
 起作用；扮演角色；扮演一个角色"
plunge in,"un. 伏角；单刀直入；趁势插话
 积极参加；猛刺"
plunge into,"v. 投入；跳进
 跳入；纵身投入，跳入；投身于"
pop into, 访问某人；匆匆走进；不假思索地到
pour out,"v. 倾吐；诉说
 涌出；倾诉；倾倒"
preclude ... from ...,
press for,"na. 催逼；(时间)迫促；(资金)短少
 迫切要求；催促；敦促"
prey on,"v. 捕食；掠夺
 杀害；掠夺折磨；折磨，损害"
pull off,"na. 赢得；做成某事；(在路边)停车；下载
 完成；脱下；努力实现"
pull out,"na. 拔(牙等)；把船划出；(车,船等)开出；(人)出发
 拔出；驶出；抽出"
push for,"un. 拢；推到后面去；力图争取
 奋力争取；为…奋力争取；催逼"
put down to, 归因于；说…因而起；归因为
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
rake in,"un. 赚大钱
 迅速取得；大量地敛集；大量敛集"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
 伸出；伸出手；伸出双手"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
rein in,"na. 勒住(马)；控制
 抑制；放慢；约束"
rest with,"na. 取决于
 在于；归于；由……负责"
result in,"na. 终于(失败)
 导致；结果是；造成"
rip off,"v. 剥削；抢劫；强奸；剽窃
 宰客；宰人；撕掉"
roll out,"na. 滚出；离开；展开；起床
 铺开；辗平；转出"
rule out,"na. 排除
 排除…的可能性；划去；拒绝考虑"
rush through,"v. 匆匆完成
 匆忙做完；快速通过；匆忙通过"
sail through, 顺利通过；轻快地经过；轻快地走过
scale back,"na. 相应缩减
 按比例缩减；减少；缩小"
scale down,"na. (按比例)缩减；分频；“scale back”的变体
 按比例缩小；缩小比例；按比例减少"
scoop up,"v. 舀出
 铲起；用铲子取；舀上来"
search through, 把……仔细搜寻一遍；查找；翻遍
seize on,"na. 猛扑；袭击；利用；采用(提议)
 抓住；抓住，抓紧；占有"
serve up,"na. 端出(饭菜等)；上(菜)；同“serve”
 端上；提供；提出"
set the tone,"un. 摆餐具；定调子
 定下基调；设定基调；为公司定调"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
shell out,"na. 交出；付出；付款
 支付；交付；出需要的或应付的钱"
shrug off,"na. (耸肩)表示轻蔑；摆脱；扭身脱掉(衣服)
 耸肩表示对…不屑理睬；对…不屑一顾；对……满不在乎"
side with,"v. 援助；偏袒
 支持；一边，支持；站在…一边"
sit on,"na. 压制；责备；审理(案件等)；调查
 拖延；坐在……上；为…的成员"
slacken off,"un. 松劲
 萧条；懈怠；松懈"
slow down,"na. 闲下来；减缓；放慢速度；减速
 慢下来；慢点；慢驶"
soak up,"v. 吸取
 吸收；摄取；吸收摄取"
sort out,vt.& vi. 把…安排妥当; （从…中）区分出来，辨别出来; 分类; 整理; 整顿; 解决
spell out,"na. 详细说明；正式拼写
 讲清楚；清楚地说明；拼出"
squeeze out,"na. 榨取；排斥
 挤出；榨出；排挤"
stake out,"na. “stake off”的变体
 立桩标出；放样；监视"
stand down,"na. 退出证人席位；暂时辞退；不在值勤中
 退下；下台；退出竞选"
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
stand up for,"na. 拥护
 支持；维护；坚持"
start out,"na. 跳出；开始；企图
 出发；动身；着手"
stay put,"na. 安装牢固
 停住不动；留在原处不动；留在原地"
stem from,"v. 出于；基于
 起源于；来自；源自"
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
stick it out,"v. 忍耐到底
 坚持到底；顶下去；要坚持到底"
stick together,"v. 粘合起来
 团结一致；粘在一起；互相支持"
stick with, 坚持；继续支持；坚持做
stock up on, 囤积；备货；储备
strike sb. as ...,
strive for,"v. 争取；奋发图强；收下
 为…而奋斗；为…奋斗；力求"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
take over,"na. 接管；继承
 接收；接任；接替"
take the place of,"na. 接替某人的位置
 代替；取代；替代"
tease out,"na. (将纠缠在一起的东西)整理；得出
 梳理；哄取；挑出"
thin out,"na. 间(苗)；(听众)减少；变薄
 尖灭；煤层薄；稀薄"
thrive on,"v. 靠…繁荣
 因……蓬勃发展；以……旺盛；在…中旺盛生长"
throw into,"na. 使投身于
 扔进；投入；投注"
to the letter,"na. 严格按照字句；详细知道；了如指掌
 不折不扣；不折不扣地；彻头彻尾"
touch on,"na. 说到
 涉及；提及；谈及"
try out,"na. (采用前)严密试验；筛矿；量(金属的)纯度
 试用；尝试；考验"
turn around,"na. 转身；使向好的方向转变
 回转；转过身；转过来"
turn on,"na. 转向；对…进行突击
 打开；接通；开启"
turn on its head,完全改变
turn over,"na. ￡ 500 a week 每星期卖得五百镑
 移交；翻转；翻过来"
under fire,"na. 在炮火下；受到攻击；在弹雨下
 战火下；受攻击；遭到攻击"
up front,"na. 在前面；预先
 前线；沙场乐；在前台"
usher in,"na. 迎接(来客)；传报
 开创；开始；引领"
ward off,"v. 挡开；架开
 避开；防止；挡住"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
weigh in,"v. 参加，称重量，比赛前量体重
vi. （口语）发表评论; 施加影响"
work against, 对……不利；对…产生不利的作用和影响；反对
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
 勾销；取消；冲销"
abdicate,"vt. 退位；放弃
vi. 退位；放弃"
abuzz,adj. 嗡嗡的；嘁嘁喳喳的；呈现忙碌状况(的)；议论纷纷(的)
acclimation,n. 适应环境（气候、水土等）
accrue,"vt. 获得；积累
vi. 产生；自然增长或利益增加"
adaptability,n. 适应性；可变性；适合性
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
adorn,vt. 装饰；使生色
adversarial,adj. 对抗的；对手的，敌手的
aeronautics,n. 航空学；飞行术
affirmative,"n. 肯定语；赞成的一方
adj. 肯定的；积极的"
afloat,"adj. 在海上的；飘浮的；浸满水的；在传播的
adv. 在海上；飘浮著；浸满水"
aging,n. 老化；陈化，熟化
agitator,n. 搅拌器；鼓动者；煽动者
agonize,"vt. 使极度痛苦；折磨
vi. 感到极度痛苦；挣扎"
alloparent, 异亲
alloparenting, 替代父母行为；养育子女；抚育有难邻居孤儿
allot,vt. 分配；拨给；分派
altruistic,adj. 利他的；无私心的
amass,vt. 积聚，积累
anthropology,"n. 人类学
人类学家"
anthropologist,n. 人类学家；人类学者
antiquity,n. 高龄；古物；古代的遗物
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
aristocrat,n. 贵族
aristocratic,adj. 贵族的；贵族政治的；有贵族气派的
asocial,adj. 自私的；不合群的；缺乏社交性的
assuage,vt. 平息；缓和；减轻
astounding,adj. 令人震惊的；令人惊骇的
autobiography,n. 自传；自传文学
avant-garde,"n. 先锋派；前卫派
adj. 前卫的；先锋的"
averse,adj. 反对的；不愿意的
aversion,n. 厌恶；讨厌的人
backdrop,n. 背景；背景幕；交流声
backlog,"n.  积压的工作；积压待办的事务；大木材
vt. 储备；把…积压起来"
bandwidth,n.  带宽； 频带宽度
beacon,"n. 灯塔，信号浮标；烽火；指路明灯
vt. 照亮，指引
vi. 像灯塔般照耀"
benchmark,"n. 基准；标准检查程序
vt. 用基准问题测试（计算机系统等）"
big-name,adj. 大名鼎鼎的
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
billionaire,n. 亿万富翁
bimonthly,"n. 双月刊
adj. 两月一次的；每月两次的
adv. 隔月地；一月两次地"
biodiversity,n. 生物多样性
biomass,n. （单位面积或体积内的） 生物量
biotech,abbr. 生物技术；生物科技（biotechnology）
biotic,adj. 生物的；有关生命的
blacksmith,n. 铁匠；锻工
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
broadband,"n. 宽频；宽波段
adj. 宽频带的；宽波段的；宽频通讯的"
broccoli,n. 花椰菜；西兰花
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
burnout,n. 烧坏；燃料烧尽
buy-in,"n. （证券或商品交易中的）空头购入
vt. （证券或商品市场上在交割日期前以空头）买进；入股
vi. （证券或商品市场上在交割日期前以空头）买进；入股"
buzzword,n. 流行词
campaigner,n. 竞选者；从军者；出征者；老兵
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
caravanserai,n. 商队旅馆，大旅舍
caregiver,n. 照料者，护理者
cartel,n. 卡特尔；企业联合；垄断联盟；俘虏交换条约
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
casino,n. 俱乐部，赌场；娱乐场
catalyst,n.  催化剂；刺激因素
chariot,"n. 二轮战车
vt. 驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
vi. 乘战车；驾驭战车"
choosy,adj. 好挑剔的
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
chunk,n. 大块；矮胖的人或物
circumvent,v. 包围；智取；绕行，规避
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
cog,"n. 钝齿；雄榫
vi. 以雄榫连接；一致，吻合；掷骰子时作弊，诈骗
vt. 给…装配齿轮；以雄榫连接"
collodion,n. 火棉胶； 胶棉
commentator,n. 评论员，解说员；实况播音员；时事评论者
commuter,n. 通勤者，经常乘公共车辆往返者； 月季票乘客
compliant,adj. 顺从的；服从的；应允的
composure,n. 镇静；沉着
computational,adj. 计算的
conceited,adj. 自负的；狂想的；逞能的
conformity,n. 一致，适合；符合；相似
constraint,n.  约束；局促，态度不自然；强制
co-worker,n. 同事；合作者
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
creek,n. 小溪；小湾
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
crux,n. 关键；难题；十字架形，坩埚
cubicle,n. 小卧室；小隔间
cure-all,n. 万灵药
cursory,adj. 粗略的；草率的；匆忙的
darkroom,n. 暗房； 暗室
data bank,"na. 资料库
 数据库；数据银行；资料银行"
dearth,n. 缺乏；饥馑；粮食不足
decentralise,"vt. 权力下放，将（权力等）自中央政府转到地方政府; 将（工业、工人等）自集中点分散到较大的区域内
n. 分散"
deceptiveness,n. 虚伪；迷惑骗人
deep-pocketed,adj. 有钱的
de facto,"adj. 实际上存在的（不一定合法）
 事实上；事实上的；实际上的"
deforestation,n. 采伐森林；森林开伐
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
degradation,n. 退化；降格，降级；堕落
deli,n. 熟食店； 熟食品（等于delicatessen）
delusion,n. 迷惑，欺骗；错觉；幻想
designation,n. 指定；名称；指示；选派
digitalization,n. 数字化；洋地黄疗法；洋地黄丸
dire,adj. 可怕的；悲惨的；极端的
disconnected,"v. 分离（disconnect的过去分词）
adj. 分离的；不连贯的；无系统的"
discontinue,"vt. 停止；使中止
vi. 停止，中断"
disinfect,vt. 将…消毒
dismal,"n. 低落的情绪
adj. 凄凉的，忧郁的；阴沉的，沉闷的"
disparity,n. 不同；不一致；不等
disproportionate,"adj. 不成比例的
不成比例地"
disproportionately,adv. 不成比例地
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
downstream,"adj. 下游的；顺流的
adv. 下游地；顺流而下"
downtime,n. （工厂等由于检修，待料等的）停工期； 故障停机时间
dreamy,adj. 梦想的；空幻的；轻柔的；恍惚的
drumbeat,n. 鼓声；打鼓声
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
e-commerce,n. 电子商务
econometric,adj. 计量经济学的
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
electrify,vt. 使电气化；使充电；使触电；使激动
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
empower,vt. 授权，允许；使能够
enact,vt. 颁布；制定法律；扮演；发生
enchantingly,adv. 夺人心魂地；可爱地，迷人地
enclosed,"v. 附上（enclose的过去式和过去分词）
adj. 被附上的；与世隔绝的"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
encompass,vt. 包含；包围，环绕；完成
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
entourage,n. 随从；周围；环境
entrenched,"v. 确立；保证；挖掘壕沟（entrench的过去分词）
adj. 根深蒂固的；确立的，不容易改的"
eradicate,vt. 根除，根绝；消灭
ethos,n. 民族精神；气质；社会思潮
euro,n. 欧元（欧盟的统一货币单位）
exclusionary,adj. 排他的
exemplary,adj. 典范的；惩戒性的；可仿效的
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
exterminate,vt. 消灭；根除
extracurricular,adj. 课外的；业余的；婚外的
factoid,"n. 仿真陈述（仅因出现在出版物上而被信以为真）
adj. 虚构的；似是而非的"
fauna,n. 动物群； 动物区系
favoritism,n. 偏袒；得宠
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
flora,n. 植物区系；植物群
folder,n. 文件夹；折叠机；折叠式印刷品
folklore,n. 民俗学；民间传说；民间风俗
foodie,n. 美食家；吃货
forage,"n. 饲料；草料；搜索
vi. 搜寻粮草；搜寻"
forcefully,adv. 强有力地；激烈地；有说服力地
forefront,n. 最前线，最前部；活动的中心
foresight,n. 先见，远见；预见；深谋远虑
forestry,n. 林业；森林地；林学
forgery,n. 伪造；伪造罪；伪造物
formerly,adv. 以前；原来
freshman,n. 新手，生手；大学一年级学生
frugal,adj. 节俭的；朴素的；花钱少的
fruition,n. 完成，成就；结果实
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
geographic,adj. 地理的；地理学的
geographical,adj. 地理的；地理学的
gerontologist,n. 研究老年病学的专家
gig,"n. 旋转物；鱼叉；轻便双轮马车；现场演出；临时工作
vt. 使…起绒；用鱼叉叉；记过处分
vi. 乘轻便双轮马车；起绒；叉鱼"
glazing,"n. 上釉；玻璃装配业
v. 上釉（glaze的ing形式）"
granite,n. 花岗岩；坚毅；冷酷无情
grassroots,"n. 草根；基础
adj. 基层的；草根的；乡村的"
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
gravitate,vi. 受引力作用；被吸引
greed,n. 贪婪，贪心
greenwash,"n. 漂绿（公司为树立支持环保的虚假形象而作的公关活动、捐赠等）
vt. 把大笔非法来源现金存入银行；匿存非法收入"
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
halve,vt. 二等分；把……减半
hard drive,"n. 硬盘驱动器
 硬碟；硬碟机；硬盘安装方式"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
headlong,"adj. 轻率的；头向前的；匆促而用力的
adv. 头向前地；猛然用力地"
herbivore,n.  食草动物
hesitation,n. 犹豫
hippocampal,adj. 海马的；海马趾的
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
holding,"n. 举办；支持
v. 召开；担任（hold的ing形式）；握住"
holistic,adj. 整体的；全盘的
homogenize,"vt. 使均匀；使类同
vi. 变均匀"
hospitalization,n. 住院治疗；医院收容；住院保险（等于hospitalization insurance）
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
hyperactivity,n. 极度活跃；活动过度
impinge,"vi. 撞击；侵犯
vt. 撞击"
impoverish,vt. 使贫穷；使枯竭
impressionist,n. 印象主义者；印象派作家
inaction,n. 不活动；迟钝
inborn,adj. 天生的；先天的
incapable,adj. 不能的；无能力的；不能胜任的
incite,vt. 煽动；激励；刺激
inconceivable,adj. 不可思议的；难以置信的；不能想象的；非凡的
inconsistent,adj. 不一致的；前后矛盾的
inefficient,adj. 无效率的，效率低的；无能的
inequality,n. 不平等；不同；不平均
inequity,n. 不公平，不公正
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
infancy,n. 初期；婴儿期；幼年
informality,n. 非正式；不拘礼节
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
insatiable,adj. 贪得无厌的；不知足的
insecurity,n. 不安全；不牢靠；无把握；心神不定
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
insulation,n. 绝缘；隔离，孤立
intake,n. 摄取量；通风口；引入口；引入的量
interdisciplinary,adj. 各学科间的；跨学科的
intergenerational,adj. 两代间的
interpersonal,adj. 人际的；人与人之间的
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
interrelation,n. 相互关系
inventor,n. 发明家； 发明人；创造者
irritability,n. 过敏性；易怒；兴奋性
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
juggle,"vi. 玩杂耍；欺骗；歪曲
vt. 歪曲；欺骗
n. 玩戏法；欺骗"
kaleidoscope,n. 万花筒；千变万化
kinship,n.  亲属关系，家属关系；亲密关系
knight,"n. 骑士，武士；爵士
vt. 授以爵位"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
landowner,n. 地主，土地所有者
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
lenient,adj. 宽大的；仁慈的
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
like-minded,adj. 志趣相投的；具有相似意向或目的的
litany,n. 冗长而枯燥的陈述；连祷
loft,"n. 阁楼；顶楼；鸽房
vt. 把…储放在阁楼内
vi. 将球高击"
loneliness,n. 寂寞，孤独
lopsided,adj. 不平衡的，倾向一方的
magnificence,n. 壮丽；宏伟；富丽堂皇
majestic,adj. 庄严的；宏伟的
malpractice,n. 玩忽职守；不法行为；治疗不当
managerial,adj.  管理的；经理的
mania,n. 狂热；狂躁；热衷
manifesto,"n. 宣言；声明；告示
vi. 发表宣言"
marketplace,n. 市场；商场；市集
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
maternal,adj. 母亲的；母性的；母系的；母体遗传的
maximal,adj. 最高的，最大的；最全面的
medicalize,vt. 用医学方法处理（非医学问题等）
memorable,adj. 显著的，难忘的；值得纪念的
memorize,vt. 记住，背熟；记忆
memorization,n. 记住；暗记
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
messy,adj. 凌乱的，散乱的；肮脏的，污秽的；麻烦的
middleman,n. 中间人；经纪人；调解人
mid-list,
milestone,n. 里程碑，划时代的事件
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
millisecond,n. 毫秒
miner,n. 矿工；开矿机
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
misinterpret,vt. 曲解，误解
misinterpretation,n. 误解；误释
misrepresent,"vt. 歪曲，误传；不合适地代表
vi. 虚伪陈述；歪曲报道"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
monetize,vt. 定为货币，使成为合法货币；铸造成货币
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
multinational,"adj. 跨国公司的；多国的
n. 跨国公司"
networking,"n. 计算机网络的设计；一种互助性的网络体系
v. 交流（network的ing形式）；联络"
net-zero, 净零耗能；零加薪；零调整
neurology,n. 神经病学；神经学
neuroscience,n. 神经系统科学（指神经病学、 神经化学等）
neuroscientist,n. 神经系统科学家
newsroom,n. 新闻编辑部；报刊阅览室
newsstand,n. 报摊；杂志摊
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
non-fiction,n. 非小说；非小说类文学作品；纪实小说
non-verbal,adj. 非语言的；非用言语的
normality,n. 常态； 当量浓度； 规定浓度
nudge,"n. 推动；用肘轻推；没完没了抱怨的人
vt. 推进；用肘轻推；向…不停地唠叨
vi. 轻推；推进；唠叨"
obscene,adj. 淫秽的；猥亵的；可憎的
observatory,n. 天文台；气象台；瞭望台
offload,"vt. 卸下；卸货
adj. 卸载的"
onwards,adv. 向前；在前面
orb,"n. 球；天体；圆形物
vt. 成球形；弄圆；围着
vi. 沿轨道运行"
ostrich,n. 鸵鸟；鸵鸟般的人
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
outmode,vt. 使过时
outsider,n. 外人；无取胜希望者
overcrowded,"adj. 过度拥挤的
v. 拥挤（overcrowd的过去分词）"
overly,adv. 过度地；极度地
overpaid,adj. 多付款的，付得过多
overreact,vi. 反应过度；反作用过强
overrule,vt. 否决；统治；对…施加影响
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
overstep,vt. 逾越；超出…的限度
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
pandemic,"adj. （疾病等）（全国、全球i）流行的；普遍的
n. 流行性疾病"
panicky,adj. 恐慌的；惊慌失措的
paperwork,n. 文书工作
paraphrase,"n. 释义；解释；意译
vt. 释义"
parenthood,n. 亲子关系；父母身份
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
patchwork,n. 拼缝物，拼缀物；混杂物
patentable,adj. 可取得专利权的，可给予专利权的
paternal,adj. 父亲的；得自父亲的；父亲般的
paycheck,n. 付薪水的支票，薪水
payout,n. 支出；花费
Persian,猫老大
pervasive,adj. 普遍的；到处渗透的；流行的
pharma,n. 制药公司
pharmaceutical,"n. 药物
adj. 制药（学）的"
photography,n. 摄影；摄影术
photographic,adj. 摄影的；逼真的；（尤指记忆）详细准确的
pleasurable,adj. 快乐的；心情舒畅的；令人愉快的
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
plurality,n. 多数；复数；兼职；胜出票数
poach,"vt. 水煮；偷猎；窃取；把…踏成泥浆
vi. 偷猎；侵犯；剽窃"
pointless,adj. 无意义的；钝的；不尖的；不得要领的
pollutant,n. 污染物
popularize,"vt. 普及；使通俗化
vi. 通俗化"
populous,adj. 人口稠密的；人口多的
pop-up,"n. 弹出式；自动起跳式装置
adj. 弹起的；有自动起跳装置的"
postal,"n. 明信片
adj. 邮政的；邮局的"
postwar,"n. 战后时期
adj. 战后的
adv. 战后；在战后"
pottery,n. 陶器；陶器厂；陶器制造术
prairie,n. 大草原；牧场
precondition,"n. 前提；先决条件
vt. 预处理；事先准备"
prefrontal,"n.  额前骨
adj.  前额的；额叶前部的"
prerequisite,"n. 先决条件
adj. 首要必备的"
presuppose,vt. 假定；预料；以…为先决条件
pre-teen,"n. 青春期前的孩子；不满13岁的儿童
adj. 13岁以下的；青春期前的；接近青春期的"
processor,n.  处理器；处理程序；加工者
procreation,n. 生殖；生产
projection,n. 投射；规划；突出；发射；推测
prosocial,adj. 亲社会的；忠实于既定社会道德准则的
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
